Timestamp,Alpha_L,Beta_L,Gamma_L,Alpha_R,Beta_R,Gamma_R,AlphaL_rel,BetaL_rel,GammaL_rel,AlphaR_rel,BetaR_rel,GammaR_rel,Marker
2025-11-06T19:17:36,4594595.363,1587178.971,153256.198,26.295,15.441,3.554,0.725,0.251,0.024,0.581,0.341,0.078,
2025-11-06T19:17:37,608959.971,155207.015,11560.040,1.273,1.802,1.343,0.785,0.200,0.015,0.288,0.408,0.304,
2025-11-06T19:17:38,31978.843,3960.242,428.106,0.100,0.033,0.014,0.879,0.109,0.012,0.676,0.227,0.097,
2025-11-06T19:17:39,4487.558,1195.458,120.309,0.006,0.008,0.004,0.773,0.206,0.021,0.332,0.451,0.217,
2025-11-06T19:17:40,386.282,379.865,154.680,0.001,0.003,0.003,0.419,0.413,0.168,0.154,0.371,0.475,
2025-11-06T19:17:41,2881.873,340.050,115.011,0.007,0.004,0.003,0.864,0.102,0.034,0.528,0.266,0.205,
2025-11-06T19:17:42,293.072,415.846,116.209,0.001,0.003,0.002,0.355,0.504,0.141,0.165,0.540,0.295,
2025-11-06T19:17:43,728.138,249.636,103.154,0.002,0.003,0.003,0.674,0.231,0.095,0.282,0.385,0.333,
2025-11-06T19:17:44,911.415,240.367,145.621,0.002,0.002,0.003,0.702,0.185,0.112,0.298,0.302,0.400,
2025-11-06T19:17:45,7972.199,1587.868,180.717,0.014,0.004,0.006,0.818,0.163,0.019,0.568,0.169,0.263,
2025-11-06T19:17:46,744.632,203.984,138.119,0.002,0.002,0.003,0.685,0.188,0.127,0.306,0.300,0.394,
2025-11-06T19:17:47,550.463,292.354,142.518,0.003,0.004,0.003,0.559,0.297,0.145,0.287,0.432,0.281,
2025-11-06T19:17:48,487.364,173.987,81.906,0.002,0.003,0.003,0.656,0.234,0.110,0.230,0.422,0.347,
2025-11-06T19:17:49,216.288,180.900,159.327,0.001,0.002,0.003,0.389,0.325,0.286,0.199,0.360,0.441,
2025-11-06T19:17:50,259.172,136.751,132.659,0.000,0.002,0.003,0.490,0.259,0.251,0.045,0.421,0.534,
2025-11-06T19:17:51,1032.601,315.863,170.236,0.003,0.003,0.002,0.680,0.208,0.112,0.346,0.371,0.283,
2025-11-06T19:17:52,282591.880,217088.841,12618.301,0.746,1.735,0.376,0.552,0.424,0.025,0.261,0.607,0.132,
2025-11-06T19:17:53,3491188.933,2043927.541,146829.705,7.860,16.633,3.549,0.614,0.360,0.026,0.280,0.593,0.127,
2025-11-06T19:17:54,271497.326,55978.246,26571.765,0.955,1.327,0.401,0.767,0.158,0.075,0.356,0.495,0.149,
2025-11-06T19:17:55,632458.281,113354.018,25467.332,1.124,1.016,0.539,0.820,0.147,0.033,0.419,0.379,0.201,
2025-11-06T19:17:56,61590.470,9284.515,790.780,0.149,0.063,0.022,0.859,0.130,0.011,0.637,0.270,0.093,
2025-11-06T19:17:57,678286.149,255368.376,19014.163,1.653,1.643,0.533,0.712,0.268,0.020,0.432,0.429,0.139,
2025-11-06T19:17:58,12117417.760,5247730.718,512201.092,32.000,84.318,40.355,0.678,0.294,0.029,0.204,0.538,0.258,
2025-11-06T19:17:59,18363385.512,4185916.995,188038.032,151.959,225.986,73.026,0.808,0.184,0.008,0.337,0.501,0.162,
2025-11-06T19:18:00,186124978.999,46171361.764,1969360.192,772.357,364.376,131.088,0.795,0.197,0.008,0.609,0.287,0.103,
2025-11-06T19:18:01,296190.990,45200.933,3010.145,1.768,0.425,0.103,0.860,0.131,0.009,0.770,0.185,0.045,
2025-11-06T19:18:02,622464.214,34360.463,4176.581,1.584,0.391,0.173,0.942,0.052,0.006,0.737,0.182,0.081,
2025-11-06T19:18:03,2309.017,588.194,170.497,0.006,0.004,0.003,0.753,0.192,0.056,0.468,0.327,0.205,
2025-11-06T19:18:04,30855.809,9544.026,397.469,0.138,0.119,0.051,0.756,0.234,0.010,0.449,0.386,0.166,
2025-11-06T19:18:05,2154.477,601.459,144.276,0.006,0.007,0.005,0.743,0.207,0.050,0.349,0.394,0.257,
2025-11-06T19:18:06,1618.651,387.064,136.828,0.003,0.006,0.003,0.755,0.181,0.064,0.245,0.483,0.272,
2025-11-06T19:18:07,2090784.990,1279266.197,36669.139,4.564,7.336,0.858,0.614,0.376,0.011,0.358,0.575,0.067,
2025-11-06T19:18:08,65996.760,32992.187,924.478,0.089,0.194,0.015,0.661,0.330,0.009,0.299,0.651,0.051,
2025-11-06T19:18:09,171232.793,58957.642,6334.365,0.400,0.425,0.169,0.724,0.249,0.027,0.402,0.428,0.170,
2025-11-06T19:18:10,52908.364,20960.859,351.444,0.088,0.118,0.012,0.713,0.282,0.005,0.405,0.541,0.054,
2025-11-06T19:18:11,1174.094,399.518,123.379,0.007,0.006,0.006,0.692,0.235,0.073,0.364,0.301,0.335,
2025-11-06T19:18:12,184.654,205.291,170.342,0.002,0.003,0.004,0.330,0.366,0.304,0.231,0.366,0.403,
2025-11-06T19:18:13,342.883,146.134,132.833,0.000,0.002,0.003,0.551,0.235,0.214,0.080,0.395,0.525,
2025-11-06T19:18:14,280.234,173.705,160.005,0.001,0.002,0.003,0.456,0.283,0.261,0.133,0.386,0.481,
2025-11-06T19:18:15,91.396,136.970,208.997,0.001,0.004,0.004,0.209,0.313,0.478,0.137,0.431,0.432,
2025-11-06T19:18:16,457.470,331.680,152.837,0.001,0.003,0.004,0.486,0.352,0.162,0.089,0.377,0.535,
2025-11-06T19:18:17,147.990,265.686,142.888,0.000,0.002,0.002,0.266,0.477,0.257,0.082,0.476,0.442,
2025-11-06T19:18:18,324.277,249.400,177.112,0.001,0.002,0.003,0.432,0.332,0.236,0.206,0.327,0.467,
2025-11-06T19:18:19,173.071,156.321,159.496,0.001,0.002,0.002,0.354,0.320,0.326,0.151,0.426,0.423,
2025-11-06T19:18:20,140.239,183.120,90.420,0.001,0.002,0.003,0.339,0.443,0.219,0.170,0.299,0.532,
2025-11-06T19:18:21,156.995,204.271,105.000,0.001,0.002,0.003,0.337,0.438,0.225,0.110,0.336,0.554,
2025-11-06T19:18:22,4796.133,5503.788,130.546,0.019,0.027,0.006,0.460,0.528,0.013,0.361,0.517,0.122,
2025-11-06T19:18:23,84927.714,7891.012,425.639,0.355,0.241,0.015,0.911,0.085,0.005,0.580,0.395,0.024,
2025-11-06T19:18:24,2590263.948,3293344.838,59240.087,7.659,20.783,1.684,0.436,0.554,0.010,0.254,0.690,0.056,
2025-11-06T19:18:25,981011.494,175045.010,25296.969,2.294,1.762,0.807,0.830,0.148,0.021,0.472,0.362,0.166,
2025-11-06T19:18:26,1038809.207,474341.433,22783.935,2.044,2.872,0.465,0.676,0.309,0.015,0.380,0.534,0.086,
2025-11-06T19:18:27,14601.902,6137.794,401.874,0.061,0.079,0.012,0.691,0.290,0.019,0.401,0.519,0.080,
2025-11-06T19:18:28,3514.812,2054.187,134.382,0.048,0.020,0.006,0.616,0.360,0.024,0.654,0.269,0.077,
2025-11-06T19:18:30,494.777,723.057,175.717,0.001,0.005,0.003,0.355,0.519,0.126,0.119,0.536,0.345,
2025-11-06T19:18:31,129.718,288.338,131.348,0.001,0.003,0.002,0.236,0.525,0.239,0.230,0.469,0.302,
2025-11-06T19:18:32,298.014,171.052,153.121,0.001,0.005,0.003,0.479,0.275,0.246,0.128,0.517,0.355,
2025-11-06T19:18:33,244.545,210.106,115.976,0.001,0.005,0.002,0.429,0.368,0.203,0.169,0.604,0.228,
2025-11-06T19:18:34,414.725,289.267,158.565,0.003,0.002,0.003,0.481,0.335,0.184,0.347,0.267,0.385,
2025-11-06T19:18:35,130.811,105.655,84.035,0.001,0.003,0.002,0.408,0.330,0.262,0.116,0.524,0.359,
2025-11-06T19:18:36,255.310,222.747,160.470,0.001,0.003,0.003,0.400,0.349,0.251,0.192,0.404,0.404,
2025-11-06T19:18:37,310.986,188.657,81.531,0.001,0.004,0.003,0.535,0.325,0.140,0.111,0.524,0.365,
2025-11-06T19:18:38,175.648,165.551,203.359,0.000,0.003,0.002,0.323,0.304,0.373,0.047,0.578,0.375,
2025-11-06T19:18:39,274.552,213.673,155.774,0.001,0.002,0.001,0.426,0.332,0.242,0.317,0.367,0.316,
2025-11-06T19:18:40,140.797,157.210,103.627,0.001,0.002,0.004,0.351,0.391,0.258,0.155,0.317,0.528,
2025-11-06T19:18:41,93.249,250.076,176.308,0.001,0.004,0.003,0.179,0.481,0.339,0.102,0.531,0.367,
2025-11-06T19:18:42,49.618,163.780,192.029,0.001,0.002,0.002,0.122,0.404,0.474,0.132,0.436,0.432,
2025-11-06T19:18:43,185.517,261.748,103.211,0.001,0.002,0.004,0.337,0.475,0.187,0.191,0.281,0.528,
2025-11-06T19:18:44,115.958,255.025,115.495,0.001,0.003,0.003,0.238,0.524,0.237,0.204,0.409,0.386,
2025-11-06T19:18:45,92.757,203.413,106.298,0.001,0.003,0.002,0.230,0.505,0.264,0.170,0.468,0.362,
2025-11-06T19:18:46,140.029,207.545,99.455,0.001,0.004,0.002,0.313,0.464,0.222,0.176,0.539,0.285,
2025-11-06T19:18:47,253.780,231.625,106.578,0.001,0.003,0.003,0.429,0.391,0.180,0.173,0.426,0.401,
2025-11-06T19:18:48,53.717,182.556,162.472,0.001,0.003,0.002,0.135,0.458,0.407,0.165,0.442,0.393,
2025-11-06T19:18:49,213.321,188.588,216.051,0.001,0.002,0.003,0.345,0.305,0.350,0.130,0.373,0.497,
2025-11-06T19:18:50,88.937,233.685,93.554,0.001,0.002,0.003,0.214,0.562,0.225,0.160,0.351,0.489,
2025-11-06T19:18:51,958.499,304.802,100.539,0.033,0.033,0.015,0.703,0.223,0.074,0.412,0.407,0.181,
2025-11-06T19:18:52,26415.198,9119.031,369.798,0.042,0.053,0.023,0.736,0.254,0.010,0.360,0.448,0.192,
2025-11-06T19:18:53,1363.726,565.338,155.924,0.010,0.008,0.004,0.654,0.271,0.075,0.440,0.379,0.181,
2025-11-06T19:18:54,682682.302,184097.793,12329.463,1.492,1.181,0.293,0.777,0.209,0.014,0.503,0.398,0.099,
2025-11-06T19:18:55,358728.771,24845.141,435.381,0.721,0.114,0.016,0.934,0.065,0.001,0.847,0.134,0.019,
2025-11-06T19:18:56,4667.055,1686.815,282.763,0.016,0.015,0.005,0.703,0.254,0.043,0.447,0.422,0.131,
2025-11-06T19:18:57,15698.617,5329.323,859.171,0.094,0.076,0.027,0.717,0.243,0.039,0.477,0.387,0.137,
2025-11-06T19:18:58,2727.495,481.035,115.911,0.008,0.007,0.007,0.820,0.145,0.035,0.357,0.333,0.310,
2025-11-06T19:18:59,7022.581,3253.972,154.001,0.016,0.026,0.005,0.673,0.312,0.015,0.349,0.550,0.100,
2025-11-06T19:19:00,21370.787,2841.837,146.010,0.058,0.018,0.003,0.877,0.117,0.006,0.731,0.225,0.043,
2025-11-06T19:19:01,203.528,228.266,93.287,0.002,0.003,0.002,0.388,0.435,0.178,0.303,0.377,0.321,
2025-11-06T19:19:02,159.950,191.409,102.973,0.003,0.001,0.003,0.352,0.421,0.227,0.444,0.153,0.403,
2025-11-06T19:19:03,1406.532,546.455,159.927,0.006,0.006,0.002,0.666,0.259,0.076,0.408,0.436,0.156,
2025-11-06T19:19:04,14070.533,2516.649,289.047,0.026,0.024,0.010,0.834,0.149,0.017,0.425,0.401,0.174,
2025-11-06T19:19:05,27923.427,32429.924,8934.297,0.096,0.299,0.272,0.403,0.468,0.129,0.143,0.449,0.408,
